iter	RMSE
0	4791951.752
1	4786321.301
2	4781177.327
3	4776053.391
4	4771967.16
5	4766874.922
6	4761806.154
7	4756541.28
8	4751506.203
9	4746482.88
10	4741484.506
11	4736511.236
12	4731111.555
13	4726174.322
14	4721102.697
15	4716206.043
16	4711326.734
17	4705229.606
18	4700390.477
19	4695125.643
20	4690322.906
21	4682529.067
22	4676768.04
23	4671572.802
24	4666554.114
25	4661840.045
26	4657800.441
27	4653121.086
28	4647218.862
29	4642576.794
30	4636715.587
31	4631754.12
32	4627165.229
33	4622595.795
34	4617596.273
35	4615577.654
36	4611051.044
37	4605550.27
38	4601055.829
39	4596583.78
40	4592125.412
41	4587687.268
42	4583270.079
43	4578869.003
44	4574486.799
45	4569673.617
46	4564251.367
47	4558782.309
48	4554155.085
49	4549815.9
50	4544265.074
51	4539688.844
52	4534276.756
53	4530222.03
54	4525935.335
55	4521672.327
56	4517425.611
57	4512604.042
58	4508387.53
59	4504187.807
60	4500006.886
61	4495755.179
62	4491589.575
63	4487440.456
64	4479301.455
65	4475176.876
66	4471073.691
67	4466683.501
68	4462613.31
69	4459907.448
70	4454606.664
71	4450572.725
72	4446556.689
73	4442201.07
74	4438219.571
75	4433802.3
76	4429849.402
77	4425920.73
78	4421838.124
79	4416512.391
80	4411629.607
81	4406932.253
82	4402784.704
83	4398942.442
84	4395118.101
85	4391305.265
86	4387516.271
87	4383661.074
88	4380657.136
89	4376902.333
90	4373163.374
91	4369438.679
92	4365738.624
93	4357978.289
94	4354305.18
95	4349388.139
96	4345732.126
97	4342827.832
98	4337955.132
99	4334268.156
100	4330683.141
101	4327616.378
102	4323685.556
103	4319839.938
104	4313247.464
105	4308468.986
106	4304957.445
107	4301467.551
108	4297910.391
109	4293837.213
110	4290373.215
111	4286459.153
112	4283022.121
113	4279601.18
114	4276188.855
115	4272547.016
116	4269145.794
117	4265765.165
118	4262391.093
119	4259039.492
120	4255699.436
121	4251295.857
122	4247660.761
123	4244344.823
124	4241041.182
125	4237036.573
126	4233745.4
127	4230465.755
128	4224554.447
129	4221302.08
130	4218065.319
131	4210874.985
132	4207662.806
133	4201409.591
134	4196783.083
135	4193596.494
136	4189952.672
137	4185730.731
138	4182567.793
139	4179414.225
140	4175884.269
141	4172760.063
142	4169648.414
143	4166548.36
144	4163458.276
145	4160387.672
146	4156944.82
147	4152459.096
148	4147168.732
149	4144115.138
150	4141688.207
151	4138191.462
152	4135166.74
153	4132165.642
154	4129176.685
155	4126200.64
156	4122999.637
157	4120045.108
158	4113800.161
159	4110872.199
160	4106747.839
161	4103830.278
162	4100706.605
163	4097807.618
164	4094913.03
165	4092042.65
166	4088810.226
167	4085966.824
168	4082147.504
169	4079313.672
170	4075414.178
171	4072111.118
172	4066076.37
173	4063274.313
174	4060479.01
175	4057700.587
176	4053481.75
177	4050712.575
178	4046104.386
179	4039654.328
180	4033258.883
181	4029196.644
182	4026472.621
183	4022791.678
184	4020074.969
185	4016896.021
186	4013450.293
187	4007168.082
188	4002263.309
189	3999588.85
190	3996924.742
191	3994091.291
192	3991453.678
193	3987585.827
194	3981252.94
195	3978297.923
196	3975672.194
197	3973060.748
198	3970460.567
199	3967864.706
200	3965284.957
201	3962717.686
202	3960075.582
203	3955125.375
204	3951152.606
205	3946935.227
206	3940956.843
207	3937558.779
208	3933143.071
209	3930021.424
210	3927478.428
211	3924861.172
212	3922344.37
213	3918511.843
214	3916004.302
215	3913508.37
216	3911020.532
217	3908543.255
218	3904108.672
219	3901640.907
220	3898493.717
221	3895712.205
222	3892436.912
223	3889194.679
224	3886743.076
225	3884302.729
226	3881871.094
227	3879452.424
228	3876559.257
229	3872795.746
230	3870209.971
231	3867828.21
232	3864274.048
233	3861904.537
234	3858469.357
235	3854777.273
236	3851099.407
237	3848769.504
238	3844443.59
239	3842119.535
240	3838537.161
241	3835374.306
242	3833574.484
243	3831066.829
244	3828760.888
245	3822335.328
246	3820043.732
247	3817760.511
248	3814497.007
249	3812128.513
250	3809470.699
251	3807213.338
