iter	Passed	Remaining
0	75	225877
1	103	155637
2	133	133697
3	160	120265
4	190	114248
5	210	105141
6	229	98024
7	249	93237
8	274	91307
9	307	91864
10	339	92173
11	366	91330
12	389	89584
13	406	86780
14	421	83934
15	437	81606
16	452	79473
17	468	77631
18	483	75922
19	507	75592
20	525	74605
21	541	73320
22	555	71867
23	569	70602
24	584	69556
25	639	73094
26	686	75620
27	705	74936
28	725	74327
29	741	73424
30	759	72723
31	773	71748
32	788	70926
33	804	70159
34	820	69493
35	834	68726
36	849	68010
37	863	67312
38	883	67063
39	899	66541
40	913	65952
41	927	65335
42	945	65025
43	962	64687
44	976	64130
45	991	63686
46	1009	63401
47	1024	62990
48	1038	62545
49	1055	62266
50	1072	62015
51	1091	61888
52	1107	61606
53	1128	61575
54	1148	61476
55	1165	61256
56	1183	61101
57	1202	60995
58	1225	61106
59	1244	60994
60	1260	60731
61	1277	60551
62	1295	60379
63	1310	60126
64	1327	59951
65	1346	59853
66	1366	59833
67	1383	59631
68	1398	59397
69	1421	59493
70	1441	59457
71	1459	59333
72	1476	59183
73	1494	59081
74	1508	58836
75	1526	58725
76	1544	58648
77	1561	58511
78	1591	58842
79	1622	59224
80	1638	59036
81	1653	58845
82	1669	58669
83	1684	58482
84	1710	58662
85	1732	58710
86	1749	58574
87	1764	58373
88	1778	58177
89	1800	58221
90	1819	58155
91	1836	58055
92	1851	57878
93	1867	57733
94	1883	57585
95	1899	57473
96	1917	57377
97	1934	57276
98	1949	57125
99	1964	56959
100	1978	56797
101	1998	56768
102	2020	56818
103	2039	56796
104	2059	56788
105	2080	56810
106	2103	56862
107	2122	56842
108	2141	56800
109	2159	56745
110	2182	56811
111	2216	57160
112	2236	57131
113	2253	57057
114	2275	57078
115	2297	57131
116	2318	57118
117	2339	57135
118	2364	57239
119	2383	57206
120	2403	57179
121	2421	57111
122	2435	56956
123	2450	56833
124	2467	56752
125	2484	56668
126	2502	56612
127	2519	56538
128	2536	56442
129	2553	56363
130	2570	56303
131	2587	56225
132	2604	56136
133	2628	56220
134	2645	56148
135	2664	56106
136	2680	56020
137	2700	55999
138	2722	56043
139	2739	55969
140	2762	56017
141	2779	55941
142	2794	55832
143	2810	55744
144	2832	55772
145	2851	55747
146	2868	55678
147	2887	55637
148	2903	55560
149	2920	55494
150	2937	55416
151	2957	55416
152	2979	55435
153	2998	55409
154	3015	55346
155	3033	55298
156	3054	55313
157	3074	55302
158	3096	55319
159	3115	55306
160	3131	55224
161	3148	55149
162	3168	55142
163	3187	55113
164	3204	55062
165	3222	55020
166	3241	54993
167	3257	54910
168	3273	54837
169	3295	54867
170	3315	54851
171	3334	54826
172	3350	54748
173	3369	54723
174	3389	54719
175	3407	54672
176	3424	54615
177	3441	54563
178	3458	54510
179	3475	54456
180	3490	54358
181	3505	54269
182	3519	54183
183	3535	54107
184	3553	54071
185	3571	54031
186	3589	54000
187	3605	53935
188	3622	53874
189	3640	53836
190	3658	53806
191	3676	53766
192	3692	53703
193	3710	53669
194	3725	53590
195	3740	53507
196	3757	53457
197	3773	53402
198	3792	53374
199	3807	53305
200	3823	53249
201	3850	53336
202	3869	53314
203	3887	53274
204	3905	53253
205	3926	53257
206	3949	53285
207	3969	53281
208	3994	53338
209	4008	53261
210	4026	53217
211	4044	53185
212	4068	53230
213	4088	53222
214	4110	53241
215	4126	53187
216	4142	53122
217	4159	53079
218	4184	53136
219	4205	53143
220	4221	53087
221	4240	53058
222	4262	53075
223	4283	53083
224	4297	52998
225	4310	52914
226	4324	52824
227	4338	52752
228	4353	52677
229	4369	52628
230	4389	52613
231	4404	52554
232	4420	52491
233	4437	52451
