iter	Passed	Remaining
0	36	110432
1	56	84570
2	72	72277
3	86	64735
4	101	60645
5	116	58008
6	131	56186
7	148	55377
8	162	53984
9	177	52952
10	190	51787
11	206	51435
12	221	50855
13	235	50170
14	250	49802
15	267	49942
16	282	49621
17	296	49176
18	312	48986
19	327	48770
20	345	48984
21	367	49782
22	389	50423
23	411	51071
24	433	51569
25	454	51947
26	476	52447
27	499	53059
28	519	53269
29	537	53232
30	554	53140
31	570	52885
32	585	52604
33	602	52558
34	623	52844
35	640	52766
36	657	52663
37	679	52938
38	697	52968
39	714	52904
40	739	53335
41	777	54784
42	796	54789
43	816	54868
44	836	54949
45	857	55098
46	881	55368
47	899	55337
48	920	55436
49	942	55596
50	966	55865
51	985	55844
52	1002	55759
53	1024	55876
54	1044	55903
55	1065	56013
56	1085	56032
57	1100	55842
58	1118	55747
59	1142	56004
60	1164	56085
61	1181	55996
62	1199	55908
63	1224	56164
64	1247	56350
65	1270	56481
66	1288	56427
67	1305	56296
68	1321	56145
69	1341	56164
70	1366	56356
71	1387	56434
72	1406	56404
73	1427	56441
74	1446	56405
75	1465	56370
76	1484	56358
77	1504	56342
78	1530	56603
79	1555	56783
80	1585	57139
81	1604	57113
82	1621	56986
83	1639	56913
84	1656	56799
85	1673	56709
86	1696	56808
87	1710	56614
88	1725	56423
89	1741	56295
90	1758	56204
91	1774	56080
92	1789	55945
93	1812	56025
94	1832	56049
95	1848	55907
96	1862	55751
97	1883	55782
98	1902	55738
99	1916	55569
100	1930	55397
101	1947	55334
102	1962	55203
103	1976	55030
104	1990	54874
105	2005	54745
106	2021	54664
107	2037	54571
108	2053	54471
109	2069	54368
110	2090	54402
111	2107	54345
112	2121	54205
113	2136	54092
114	2158	54150
115	2176	54120
116	2192	54036
117	2208	53944
118	2227	53938
119	2243	53852
120	2259	53750
121	2274	53666
122	2293	53653
123	2322	53861
124	2349	54043
125	2373	54137
126	2390	54069
127	2407	54013
128	2425	53973
129	2442	53923
130	2458	53853
131	2474	53768
132	2494	53763
133	2511	53705
134	2527	53638
135	2547	53641
136	2564	53589
137	2581	53532
138	2598	53488
139	2615	53430
140	2634	53428
141	2651	53371
142	2667	53295
143	2686	53282
144	2707	53317
145	2725	53270
146	2744	53267
147	2777	53517
148	2797	53534
149	2814	53480
150	2833	53468
151	2857	53536
152	2874	53483
153	2894	53497
154	2912	53455
155	2930	53422
156	2948	53390
157	2972	53459
158	2992	53475
159	3016	53535
160	3036	53550
161	3051	53465
162	3068	53412
163	3086	53382
164	3106	53370
165	3123	53318
166	3142	53301
167	3162	53302
168	3187	53396
169	3204	53337
170	3224	53338
171	3247	53390
172	3264	53339
173	3288	53409
174	3305	53368
175	3322	53304
176	3337	53236
177	3356	53221
178	3373	53172
179	3391	53127
180	3406	53060
181	3425	53040
182	3444	53026
183	3462	52996
184	3484	53016
185	3503	53003
186	3520	52955
187	3536	52898
188	3556	52896
189	3575	52874
190	3594	52859
191	3613	52851
192	3632	52838
193	3652	52822
194	3669	52780
195	3687	52758
196	3706	52736
197	3722	52678
198	3738	52621
199	3758	52620
200	3778	52618
201	3796	52590
202	3813	52543
203	3830	52505
204	3847	52460
205	3864	52420
206	3887	52452
207	3906	52443
208	3925	52419
209	3941	52371
210	3959	52341
211	3976	52288
212	3992	52245
213	4011	52224
214	4035	52271
215	4063	52370
216	4080	52334
217	4099	52316
218	4118	52300
219	4136	52274
220	4154	52246
221	4175	52246
222	4196	52256
223	4213	52218
224	4234	52226
225	4259	52286
226	4296	52480
227	4348	52869
228	4387	53095
229	4412	53139
230	4432	53136
231	4467	53296
232	4486	53278
233	4512	53342
234	4530	53300
235	4549	53287
236	4573	53317
237	4593	53305
238	4610	53258
239	4631	53261
240	4650	53237
241	4667	53199
242	4692	53237
243	4713	53236
244	4729	53182
245	4746	53134
246	4763	53097
247	4790	53155
248	4823	53286
249	4857	53436
250	4900	53671
251	4931	53778
252	4972	53986
253	4996	54019
254	5186	55835
255	5258	56364
256	5307	56651
257	5354	56906
258	5407	57226
259	5450	57435
260	5483	57541
261	5514	57626
262	5546	57722
263	5571	57739
264	5616	57963
265	5654	58115
266	5705	58404
267	5750	58618
268	5785	58740
269	5813	58781
270	5855	58969
271	5877	58950
272	5896	58904
273	5919	58889
274	5937	58837
275	5956	58789
276	5989	58878
277	6020	58947
278	6065	59158
279	6106	59318
280	6142	59435
281	6173	59499
282	6216	59681
283	6265	59922
284	6302	60038
285	6432	61039
286	6485	61304
287	6520	61402
288	6563	61566
289	6596	61645
290	6628	61708
291	6657	61738
292	6685	61762
293	6708	61741
294	6728	61697
295	6746	61626
296	6761	61537
297	6780	61478
298	6798	61415
299	6815	61341
300	6831	61252
301	6856	61255
302	6875	61195
303	6891	61113
304	6909	61051
305	6927	60992
306	6943	60910
307	6958	60822
308	6979	60782
309	6999	60738
310	7015	60660
311	7033	60592
312	7061	60616
313	7137	61050
314	7153	60974
315	7170	60903
316	7189	60847
317	7210	60812
318	7230	60768
319	7249	60716
320	7265	60636
321	7281	60556
322	7299	60501
323	7320	60457
324	7338	60403
325	7354	60326
326	7371	60258
327	7388	60192
328	7403	60102
329	7418	60020
330	7434	59949
331	7450	59874
332	7466	59798
333	7480	59711
334	7496	59632
335	7516	59594
336	7533	59532
337	7551	59470
338	7567	59400
339	7583	59332
340	7599	59256
341	7613	59168
342	7628	59091
343	7643	59016
344	7658	58937
345	7675	58874
346	7698	58860
347	7718	58817
348	7733	58746
349	7748	58664
350	7762	58582
351	7781	58538
352	7796	58464
353	7811	58389
354	7828	58331
355	7850	58303
356	7865	58233
357	7883	58181
358	7898	58106
359	7915	58048
360	7929	57967
361	7944	57895
362	7960	57826
363	7978	57778
364	7994	57713
365	8010	57651
366	8030	57616
367	8051	57582
368	8069	57539
369	8085	57471
370	8105	57436
371	8127	57419
372	8146	57377
373	8163	57318
374	8181	57270
375	8199	57225
376	8219	57189
377	8238	57149
378	8261	57132
379	8280	57090
380	8298	57046
381	8318	57011
382	8341	56997
383	8357	56932
384	8380	56920
385	8398	56873
386	8419	56849
387	8440	56824
388	8459	56778
389	8474	56714
390	8490	56656
391	8514	56645
392	8536	56624
393	8553	56573
394	8571	56528
395	8593	56511
396	8613	56473
397	8630	56421
398	8649	56387
399	8667	56338
400	8682	56275
401	8729	56413
402	8751	56398
403	8770	56358
404	8787	56303
405	8801	56233
406	8815	56164
407	8830	56100
408	8847	56045
409	8862	55983
410	8876	55916
411	8891	55850
412	8917	55858
413	8935	55813
414	8952	55765
415	8968	55706
416	8985	55659
417	9008	55647
418	9026	55600
419	9042	55547
420	9059	55496
421	9073	55432
422	9087	55364
423	9102	55302
424	9127	55303
425	9145	55257
426	9164	55221
427	9182	55177
428	9196	55114
429	9212	55060
430	9226	54994
431	9243	54949
432	9259	54893
433	9273	54827
434	9287	54763
435	9304	54717
436	9322	54675
437	9338	54622
438	9353	54564
439	9369	54511
440	9384	54457
441	9399	54395
442	9414	54339
443	9429	54285
444	9448	54247
445	9463	54189
446	9476	54126
447	9492	54075
448	9513	54049
449	9529	54000
450	9544	53944
451	9559	53886
452	9577	53849
453	9597	53819
454	9611	53763
455	9627	53712
